# Glossary in tab-separated format -*- coding: utf-8 -*-
NoNameGiven	Br/SemNomeDado
NoOSHACompliance	Br/EmDesacordoComANR12
NoOSHACompliance	Br/InsegurancaDoTrabalho
NoOSHACompliance	Br/SemConformidadeComANR12
NoOneGetsLeftBehind	Br/NinguemFicaParaTras
NoOntologicalInertia	Br/SemInerciaOntologica
NoOriginStoriesAllowed	Br/NadaDeHistoriasDeOrigem
NoPeriodsPeriod	Br/NadaDeMenstruacao	"Nada de menstruação".
NoPlansNoPrototypeNoBackup	Br/SemDiagramaSemPrototipoSemReserva
NoRomanticResolution	Br/SemResolucaoRomantica
NoSenseOfHumor	Br/SemSensoDeHumor
NoSmoking	Br/EProibidoFumar
NobleBigot	Br/NobreIntolerante
NobleDemon	Br/DemonioNobre
NobleProfession	Br/ProfissaoNobre
NobleSavage	Br/SelvagemNobre
NobodyPoops	Br/NinguemCaga
NominalHero	Br/HeroiNominal
NonActionGuy	Br/CaraSemAcao
NonActionProtagonist	Br/ProtagonistaSemAcao
NonAppearingTitle	Br/NomeNaoExibido
NonHeteronormativeSociety	Br/SociedadeNaoHeteronormativa
NonIndicativeName	Br/NomeNaoIndicativo
NonIronicClown	Br/PalhacoNaoIronico
NonLinearSequel	Br/SequenciaNaoLinear
NonMammalianMammaries	Br/MamasNaoMamiferas
NonPlayerCharacter	Br/PersonagemNaoJogavel
NonPoweredCostumedHero	Br/HeroiTrajadoSemPoderes
NonProtagonistResolver	Br/SolucionadorNaoProtagonista
NonResidentialResidence	Br/ResidenciaNaoResidencial
NoodleImplements	Br/ImplementosDeMacarrao
NoodleIncident	Br/CasoDoMacarrao
NotHisSled	Br/NaoEOTrenoDele
NotMyDriver	Br/NaoEMeuMotorista
NotQuiteDead	Br/NaoExatamenteMorto
NotReallyABirthScene	Br/NaoERealmenteUmParto
NotSoAboveItAll	Br/NaoTaoAcimaDeTudo
NotSoDifferentRemark	Br/ComentarioDeNaoTaoDiferente
NotSoHarmlessVillain	Br/VilaoNaoTaoInofensivo
NotSoSafeHarbor	Br/PortoNaoTaoSeguro
NotSoWellIntentionedExtremist	Br/ExtremistaNaoTaoBemIntencionado
NotTooDeadToSaveTheDay	Br/NaoEstouMortoDemaisParaSalvarODia
NotWhatItLooksLike	Br/NaoEOQueParece
NothingExcitingEverHappensHere	Br/NadaDeInteressanteAconteceAqui
NothingIsScarier	Br/NadaEMaisAssustador
NothingIsTheSameAnymore	Br/NadaEMaisOMesmo
NumberOfTheBeast	Br/NumeroDaBesta
NumberedSequels	Br/SequenciasNumeradas
ObfuscatingInsanity	Br/InsanidadeOfuscante
ObfuscatingStupidity	Br/EstupidezOfuscante
ObliviouslyEvil	Br/AlheiamenteDoMal
ObscuredSpecialEffects	Br/EfeitosEspeciaisEncobertos
ObviousJudas	Br/JudasObvio
ObviousRulePatch	Br/EmendaObviaDeRegra
ObviousSecondChoice	Br/SegundaEscolhaObvia
ObviouslyEvil	Br/ObviamenteDoMal
ObviouslyEvil	Br/ObviamenteMaligno
OccamsRazor	Br/NavalhaDeOccam
OddballInTheSeries	Br/OEstranhoNaSerie
OddlyNamedSequel2ElectricBoogaloo	Br/SequenciaComNomeEstranho2BoogalooEletrico
OfCourseISmoke	Br/EClaroQueEuFumo
OffTheWagon	Br/PularDoVagao
OffWithHisHead	Br/CortemLheACabeca
OfficerAndAGentleman	Br/OficialECavalheiro
OfficialCouple	Br/CasalOficial
OffingTheAnnoyance	Br/SilenciarOIncomodo
OffscreenInertia	Br/InerciaForaDaTela
OffscreenTeleportation	Br/TeleporteForaDaTela
OffscreenVillainDarkMatter	Br/MateriaEscuraVilanicaForaDaTela
OffstageWaitingRoom	Br/SalaDeEsperaForaDoPalco
OhAndXDies	Br/AhEXMorre
OhCrap	Br/VishFerrou
OhLookMoreRooms	Br/OlhaSoMaisQuartos
OldDarkHouse	Br/CasaEscuraEVelha
OlderThanFeudalism	Br/MaisVelhoQueOFeudalismo
Omegaverse	Br/{{Omegaverso}}
OminousFloatingCastle	Br/OminosoCasteloFlutuante
OminousLatinChanting	Br/CoroOminosoEmLatim
OmnicidalManiac	Br/ManiacoOmnicida
OmnidisciplinaryScientist	Br/CientistaOnidisciplinar
OmniscientHero	Br/HeroiOnisciente
OmniscientMoralityLicense	Br/LicencaDeMoralOnisciente
OnOneCondition	Br/ComUmaCondicao
OncePerEpisode	Br/UmaVezPorEpisodio
OneDegreeOfSeparation	Br/UmGrauDeSeparacao
OneGenderSchool	Br/EscolaDeUmSoGenero
OneLastSmoke	Br/SoMaisUmTrago
OneManArmy	Br/ExercitoDeUmHomemSo
OneNeighborNeighborhood	Br/VizinhancaDeUmSoVizinho
OneProductPlanet	Br/PlanetaDeUmSoProduto
OneShotCharacter	Br/PersonagemDeUsoUnico
OneWingedAngel	Br/FormaFinal
OnlyALighter	Br/ESoUmIsqueiro
OnlyFriend	Br/UnicoAmigo
OnlyGoodPeopleMayPass	Br/SomenteOsBonsPodemPassar
OnlyKnownByTheirNickname	Br/ConhecidoApenasPorSeuApelido
OnlyOneAfterlife	Br/SomenteUmaVidaAposAMorte
OnlySaneByComparison	Br/SaoApenasEmComparacao
OnlySaneEmployee	Br/UnicoFuncionarioSao
OnlySaneMan	Br/UnicaPessoaSa
OnlySaneMan	Br/UnicoHomemSao
OnlyShopInTown	Br/UnicaLojaNaCidade
OnlyTheChosenMayWield	Br/ApenasOEscolhidoPodeEmpunhar
OnlyTheLeadsGetAHappyEnding	Br/SoOsProtagonistasRecebemOFinalFeliz
OnlyThePureOfHeart	Br/SomenteOsPurosDeCoracao
OpeningACanOfClones	Br/AbrindoUmaLataDeClones
OpeningACanOfClones	Br/AbrirUmaLataDeClones
OpeningNarration	Br/NarracaoDeAbertura
OpinionFlipFlop	Br/MariaVaiComAsOutras
OpiumDen	Br/AntroDoOpio
OpportunisticBastard	Br/CanalhaOportunista
OppressiveStatesOfAmerica	Br/EstadosOpressivosDaAmerica
OrWasItADream	Br/SeraQueEraMesmoUmSonho
OralFixation	Br/FixacaoOral
OrcusOnHisThrone	Br/OcupadoDemaisSentandoNoTrono
OrcusOnHisThrone	Br/OcupadoDemaisSentandoNoTrono
OrderVersusChaos	Br/OrdemContraCaos
OriginsEpisode	Br/EpisodioDeOrigem
OrphanageOfFear	Br/OrfanatoDoMedo
OrphanageOfLove	Br/OrfanatoDoAmor
OrwellianRetcon	Br/RetconOrwelliano
OscarBait	Br/IscaDeOscar
OtakuOClock	Br/OtakuEmPonto
OtherworldTropes	Br/TroposDeOutroMundo
OurDwarvesAreAllTheSame	Br/NossosAnoesSaoTodosIguais
OurFounder	Br/NossoFundador
OurGhostsAreDifferent	Br/NossosFantasmasSaoDiferentes
OurGodsAreDifferent	Br/NossosDeusesSaoDiferentes
OurLawyersAdvisedThisTrope	Br/NossosAdvogadosRecomendaramEsteTropo
OurPresidentsAreDifferent	Br/NossosPresidentesSaoDiferentes
OutcastRefuge	Br/RefugioDeParias
OutdatedByCanon	Br/DesatualizadoPeloCanone
OutdatedHeroVsImprovedSociety	Br/HeroiObsoletoContraSociedadeMelhorada
OutlawTown	Br/CidadeSemLei
OutsideContextProblem	Br/ProblemaDeContextoExterno
OverlaidSocieties	Br/SociedadesSobrepostas
OverlyLongGag	Br/PiadaExcessivamenteLonga
OverlyLongName	Br/NomeExcessivamenteLongo
OverpopulationCrisis	Br/CriseDaSuperpopulacao
OvershadowedByControversy	Br/OfuscadoPelaControversia
POVSequel	Br/SequenciaEmPontoDeVista
POWCamp	Br/CampoDeConcentracao
PacifiedAdaptation	Br/AdaptacaoPacificada
PacifismBackfire	Br/PacifismoPelaCulatra
PajamaCladHero	Br/HeroiTrajadoEmPijama
PalsWithJesus	Br/AmigosDeJesus
PanderingToTheBase	Br/BajularOFaClube
PapaWolf	Br/PapaiLobo
ParadisePlanet	Br/PlanetaParaiso
ParadoxPerson	Br/PessoaParadoxo
ParanoiaFuel	Br/CombustivelPraParanoia
ParentalAbandonment	Br/AbandonoParental
ParentalBonus	Br/BonusAosPais
ParentalNeglect	Br/NegligenciaParental
ParkingGarage	Br/GaragemDeEstacionamento
Parody	Br/{{Parodia}}
ParodyRetcon	Br/RetconDeParodia
PartTimeHero	Br/HeroiNasHorasVagas
PastRightNow	Br/OPassadoEAgora
PatchedTogetherFromTheHeadlines	Br/CosturadoComManchetes
PatchworkMap	Br/MapaDeRetalhos
PatchworkWorld	Br/MundoDeRetalhos
PathOfInspiration	Br/CaminhoDaInspiracao
PatrickStewartSpeech	Br/DiscursoDoPatrickStewart
PayEvilUntoEvil	Br/PagarOMalComOMal
PayingItForward	Br/PagandoAdiantado
PaymentPlanPitch	Br/EsquemaDePagamento
PeacePipe	Br/CachimboDaPaz
PeaceTropes	Br/TroposDePaz
PenalColony	Br/ColoniaPenal
PeopleZoo	Br/ZoologicoDeGente
PerfectHealth	Br/SaudePerfeita
PeriodPiece	Br/DramaHistorico
PeriodPiece	Br/ObraDeEpoca
PeripheryDemographic	Br/DemografiaPeriferica
Permadeath	Br/MortePermanente
PerpetualPoverty	Br/PobrezaPerpetua
PetTheDog	Br/AcariciarOCachorro
PetTheDog	Br/FazerCarinhoNoCachorro
PhallicWeapon	Br/ArmaFalica
PhantomZone	Br/ZonaFantasma
PhlebotinumDuJour	Br/CoisoniumDuJour
PhysicalGod	Br/DeusFisico
PhysicalHeaven	Br/CeuFisico
PhysicalHell	Br/InfernoFisico
PinkHeroine	Br/HeroinaDeRosa
PintSizedPowerhouse	Br/PotenciaDeTamanhoMinusculo
PlaceBeyondTime	Br/LugarAlemDoTempo
PlaceOfPower	Br/LugarDePoder
PlaceWorseThanDeath	Br/LugarPiorQueAMorte
PlanetEngland	Br/PlanetaInglaterra
PlanetOfHats	Br/PlanetaDeChapeus
Planetville	Br/{{Planetopolis}}
PlatonicCave	Br/CavernaDoPlatao
PlatonicWritingRomanticReading	Br/EscritaPlatonicaLeituraRomantica
PlausibleDeniability	Br/NegabilidadePlausivel
PlayTheGameSkipTheStory	Br/JogueOJogoPuleAHistoria
PlayedForDrama	Br/UsadoParaDrama
PlayedForLaughs	Br/IntencaoComica
PlayedForLaughs	Br/UsadoParaHumor
PlayedStraight	Br/UsoTipico
PlayerCharacter	Br/PersonagemDoJogador
PlayfulHacker	Br/HackerBrincalhao
PlayingWithATrope	Br/BrincandoComTropos
PlayingWithSyringes	Br/BrincandoComSeringas
PleasantAnimalsIndex	Br/IndiceDeAnimaisAgradaveis
PleaseSubscribeToOurChannel	Br/SeInscrevaEmNossoCanal
PleasurePlanet	Br/PlanetaDosPrazeres
Plot	Br/{{Trama}}
PlotAllergy	Br/AlergiaDaTrama
PlotArmor	Br/ArmaduraDeTrama
PlotBasedPhotographObfuscation	Br/OfuscamentoDeFotografiaBaseadoEmTrama
PlotHole	Br/FuroNaTrama
PlotPoweredStamina	Br/VigorBaseadoEmTrama
PlotThreads	Br/LinhasDeTrama
PluckyComicRelief	Br/CorajosoAlivioComico	Derivado do filme "Heróis Fora de Órbita".
PluckyGirl	Br/GarotaCorajosa
PocketDimension	Br/DimensaoDeBolso
PointsOfLightSetting	Br/AmbientacaoComPontosDeLuz
PokeThePoodle	Br/CutucarOPoodle
PoliceAreUseless	Br/APoliciaEInutil
PoliceBrutality	Br/BrutalidadePolicial
PolishTheTurd	Br/PolirAMerda
PoliteVillainsRudeHeroes	Br/HeroisRudesViloesEducados
PoliticallyCorrectHistory	Br/HistoriaPoliticamenteCorreta
PoliticallyIncorrectHero	Br/HeroiPoliticamenteIncorreto
PoorCommunicationKills	Br/ComunicacaoRuimMata
PoorlyDisguisedPilot	Br/PilotoMalDisfarcado
PopCulturalOsmosis	Br/OsmoseDeCulturaPop
PopularHistory	Br/HistoriaPopular
PopularityPower	Br/PoderDaPopularidade
PornWithoutPlot	Br/PornoSemHistoria
PortTown	Br/CidadePortuaria
PortalCrossroadWorld	Br/MundoEncruzilhada
PositiveFriendInfluence	Br/AmigoDeInfluenciaPositiva
PositiveStereotypeTropes	Br/TroposDeEstereotipoPositivo
PossessiveParadise	Br/ParaisoPossessivo
Post911TerrorismMovie	Br/FilmeDeTerrorismoPos119
PostScriptSeason	Br/TemporadaPosRoteiro
PostSovietReunion	Br/ReuniaoPosSovietica
PosthumousNarration	Br/NarracaoPostuma
PowerGlows	Br/PoderBrilha
PowerTrio	Br/TrioPoderoso
PowersThatBe	Br/PoderesQueSejam
PragmaticAdaptation	Br/AdaptacaoPragmatica
PragmaticEvil	Br/PragmaticoDoMal
PragmaticHero	Br/HeroiPragmatico
PrecociousCrush	Br/CrushPrecoce
PrecursorHeroes	Br/HeroisPrecursores
Precursors	Br/OsPrecursores
Premiseville	Br/{{Premissopolis}}
Prequel	Br/{{Prequencia}}
PrequelInTheLostAge	Br/PrequenciaNaIdadePerdida
PresentDay	Br/DiasAtuais
PresentDayPast	Br/PassadoDoDiaPresente
PresidentSuperhero	Br/SuperHeroiPresidente
PressXToDie	Br/PressioneXParaMorrer
PretentiousPronunciation	Br/DiccaoPretensiosa
Pride	Br/{{Orgulho}}
PrimaryColorChampion	Br/CampeaoEmCoresPrimarias
PrincessProtagonist	Br/PrincesaProtagonista
PrinciplesZealot	Br/ZeloteDosPrincipios
Prison	Br/{{Prisao}}
PrisonTropes	Br/TroposDePrisao
PrivateDetective	Br/DetetiveParticular
PrivatelyOwnedSociety	Br/SociedadeDaPropriedadePrivada
ProHumanTranshuman	Br/TranshumanoProHumanos
ProdigalHero	Br/HeroiProdigo
ProducedByCastMember	Br/ProduzidoPeloMembroDoElenco
ProductPlacement	Br/PosicionamentoDeProduto
ProfessorGuineaPig	Br/ProfessorCobaia
ProhibitedHeroSavesTheDay	Br/HeroiProibidoSalvaODia
ProlongedVideoGameSequel	Br/SequenciaProlongadaDeVideogame
PromotedFanboy	Br/FanboyPromovido
PropagandaHero	Br/HeroiPropaganda
ProperLady	Br/DamaDeRespeito
ProperlyParanoid	Br/AdequadamenteParanoico
ProphecyTwist	Br/ReviravoltaNaProfecia
ProtagonistCenteredMorality	Br/MoralCentradaNoPersonagem
ProtagonistJourneyToVillain	Br/JornadaDoProtagonistaParaVilao
ProtagonistPowerUpPrivileges	Br/PrivilegioDoProtagonistaParaGanhoDePoder
ProtectionFromEditors	Br/ProtecaoContraEditores
Protectorate	Br/{{Protetorado}}
ProtoSuperhero	Br/ProtoSuperHeroi
ProudPapaPassesOutTheCigars	Br/PaiOrgulhosoDistribuiCharutos
ProudWarriorRaceGuy	Br/CaraDeUmaRacaGuerreiraOrgulhosa
PsychicPowers	Br/PoderesPsiquicos
PsychoForHire	Br/PsicoticoDeAluguel
PsychoPsychologist	Br/PsicologoPsicotico
PsychoSerum	Br/SoroPsicotico
PsychoSupporter	Br/ApoiadorPsicotico
PsychoactivePowers	Br/PoderesPsicoativos
PsychologicalCombat	Br/CombatePsicologico
PsychoticSmirk	Br/SorrisoPsicotico
PublicDomainCharacter	Br/PersonagemDeDominioPublico
PublisherChosenTitle	Br/TituloEscolhidoPelaEmpresa
Pun	Br/{{Trocadalho}}
PunchClockHero	Br/HeroiBatedorDePonto
PunchClockVillain	Br/VilaoBatedorDePonto
PunctuatedForEmphasis	Br/PontuadoParaEnfase
PunishedForSympathy	Br/PunidoPorSimpatia
PunkPunk	Br/PunkPunk
PurityPersonified	Br/PurezaPersonificada
PutOnABus	Br/ColocadoEmUmOnibus
PutOnABusToHell	Br/ColocadoEmUmOnibusParaOInferno
PutOnAPrisonBus	Br/PostoEmUmOnibusPenitenciario
PutTheLaughterInSlaughter	Br/ColocarAGracaNaDesgraca
PutTheirHeadsTogether	Br/JuntarAsCabecasDeles
PuttingOnTheReich	Br/VestindoSeDeReich
PuttingThePalInPrincipal	Br/DiretorAmigo
PuzzleThriller	Br/SuspenseEnigmatico
PyrrhicVictory	Br/VitoriaDePirro
PyrrhicVictory	Br/VitoriaPirrica
QuicklyDemotedWoman	Br/MulherRapidamenteRebaixada
QuintessentialBritishGentleman	Br/CavalheiroBritanicoQuintessencial
QuirkyGood	Br/PeculiarBom
QuirkyTown	Br/CidadePeculiar
QuirkyWork	Br/ObraPeculiar
RPGMechanicsVerse	Br/UniversoComMecanicasDeRPG
RadishCure	Br/CuraPorRabanete
RageAgainstTheHeavens	Br/FuriaContraOsCeus
RageAgainstTheMentor	Br/FuriaContraOMentor
RagtagBunchOfMisfits	Br/BandoDeDesajustados
RailroadToHorizon	Br/FerroviaParaOHorizonte
Railroading	Br/{{Empurramento}}
RandomEventsPlot	Br/TramaDeEventosAleatorios
RandomSmokingScene	Br/CenaAleatoriaComFumante
RapeAsBackstory	Br/EstuproComoHistoriaDeFundo
RapeIsASpecialKindOfEvil	Br/EstuproEUmTipoEspecialDeMaldade
RapePortrayedAsRedemption	Br/EstuproRetratadoComoRedencao
RayOfHopeEnding	Br/FinalRaioDeEsperanca
ReadTheFreakingManual	Br/LeiaADrogaDoManual
RealLife	Br/VidaReal
RealLifeWritesThePlot	Br/AVidaRealEscreveATrama
RealNameAsAnAlias	Br/NomeRealComoPseudonimo
RealWomenHaveCurves	Br/MulheresDeVerdadePossuemCurvas
RealismInducedHorror	Br/TerrorInduzidoPorRealismo
RealityIsUnrealistic	Br/RealidadeEIrrealista
RealityWarper	Br/DobradorDeRealidade
ReasonableAuthorityFigure	Br/FiguraDeAutoridadeRazoavel
RebelLeader	Br/LiderRebelde
RebelliousRebel	Br/RebeldeRevoltado
RebelliousSpirit	Br/EspiritoRebelde
RecklessPacifist	Br/PacifistaImprudente
ReclaimedByNature	Br/ReivindicadoPelaNatureza
Reconstruction	Br/{{Reconstrucao}}
RecruitTeenagersWithAttitude	Br/RecrutarAdolescentesComAtitude
RecycledInSpace	BrApenasPorLazer/RecicladoNoEspaco
RecycledPremise	Br/PremissaReciclada
RecycledScript	Br/RoteiroReciclado
RedEyesTakeWarning	Br/CuidadoOlhosVermelhos
RedHerringShirt	Br/CamisaAvermelhada
RedIsHeroic	Br/VermelhoEHeroico
RedLightDistrict	Br/DistritoDaLuzVermelha
RedOniBlueOni	Br/OniVermelhoOniAzul
RedShirtArmy	Br/ExercitoDeCamisasVermelhas
RedeemingReplacement	Br/SubstitutoRedentor
RedemptionDemotion	Br/RebaixamentoPosRedencao
RedemptionEarnsLife	Br/RedencaoConquistaAVida
RedemptionEqualsDeath	Br/RedencaoSignificaMorte
RedemptionFailure	Br/FalhaNaRedencao
RedemptionPromotion	Br/PromocaoPosRedencao
RedemptionQuest	Br/JornadaDeRedencao
Redshirt	Br/CamisaVermelha
ReducedDowntimeFeatures	Br/MedidasDeInatividadeReduzida
ReedRichardsIsUseless	Br/ReedRichardsEInutil
RefittedForSequel	Br/ReadequadoParaASequencia
ReformedBully	Br/ValentaoReformado
ReformedButNotTamed	Br/ReformadoMasNaoDomado
ReformedCriminal	Br/CriminosoReformado
RefugeInAudacity	Br/RefugioNaAudacia
RefusalOfTheCall	Br/RecusouOChamado
RefusalOfTheSecondCall	Br/RecusouOSegundoChamado
RelationshipValues	Br/ValoresDeRelacionamento
RelationshipWritingFumble	Br/EscritaAtrapalhadaDeRelacionamento
ReluctantMadScientist	Br/CientistaMalucoRelutante
ReluctantWarrior	Br/GuerreiroRelutante
RememberTheNewGuy	Br/LembraDoCaraNovo
RememberWhenYouBlewUpASun	Br/LembraQuandoVoceExplodiuUmSol
RemoteBody	Br/CorpoRemoto
RemovableTurretGun	Br/TorretaRemovivel
ReplacementScrappy	Br/SubstitutoOdiado
RequiredSecondaryPowers	Br/PoderesSecundariosRequeridos
RescuedFromTheScrappyHeap	Br/ResgatadoDaPilhaDeLixo
ResetButton	Br/BotaoDeReinicio
ResolvedNoodleIncident	Br/ResolucaoDoCasoDoMacarrao
RestoredMyFaithInHumanity	Br/RestaurouMinhaFeNaHumanidade
RestrainedRevenge	Br/VingancaComedida
RestrictedExpandedUniverse	Br/UniversoExpandidoRestrito
RestrictedRescueOperation	Br/OperacaoDeResgateRestrita
ResurrectionGambit	Br/GambitoDaRessurreicao
ResurrectiveImmortality	Br/ImortalidadeRessurreitiva
Retcon	Br/ContinuidadeRetroativa
Retconjuration	Br/{{Retconjuracao}}
Retgone	Br/RetconDeSumico
RetiredBadass	Br/FodaoAposentado
Retirony	Br/{{Aposentaironia}}
Retool	Br/{{Redefinicao}}
RetroUniverse	Br/RetroUniverso
Revenge	Br/{{Vinganca}}
RevengeFic	Br/FanficDeVinganca
RevengeIsADishBestServed	Br/AVingancaEUmPratoQueSeCome
RevengeIsNotJustice	Br/VingancaNaoEJustica
RevengeMyopia	Br/MiopiaDeVinganca
ReverseWhodunnit	Br/QuemFezIssoReverso
RevisedEnding	Br/FinalRevisado
Revision	Br/{{Revisao}}
RevoltingRescue	Br/ResgateRevoltante
RewatchBonus	Br/BonusPorReassistir
Rewrite	Br/{{Reescrita}}
RichKidTurnedSocialActivist	Br/GarotoRicoTransformadoEmAtivistaSocial
RichReclusesRealm	Br/ReinoDoRicoRecluso
Riddle	Br/{{Charada}}
RidiculousFutureSequelisation	Br/SequenciamentoFuturoRidiculo
RidiculouslyDifficultRoute	Br/RotaRidiculamenteDificil
RidingIntoTheSunset	Br/CavalgandoParaOPorDoSol
RightMakesMight	Br/EstarCertoSignificaPoder
RightManInTheWrongPlace	Br/HomemCertoNoLugarErrado
RighteousRabbit	Br/CoelhoHonrado
RightlySelfRighteous	Br/JustoComJusticaPropria
RippedFromTheHeadlines	Br/TiradoDasManchetes
RiverOfInsanity	Br/RioDaInsanidade
RoaringRampageOfRevenge	Br/FurorViolentoDeVinganca
RobotBuddy	Br/AmigoRobo
RobotMaster	Br/MestreDosRobos
RobotWar	Br/GuerraRobotica
RockBottom	Br/FundoDoPoco
RoguePlanet	Br/PlanetaErrante
RogueProtagonist	Br/ProtagonistaInsurgente
RoleEndingMisdemeanor	Br/DelitoDeEncerramentoDePapel
RolePlayingGameVerse	Br/UniversoDeRPG
RomanceArc	Br/ArcoRomantico
RomanticFalseLead	Br/ParceiroRomanticoFalso
RomanticPlotTumor	Br/TumorRomanticoDeTrama
RomanticizedAbuse	Br/AbusoRomantizado
RonTheDeathEater	Br/RonOComensalDaMorte
RoseHairedSweetie	Br/QueridaDeCabelosRosados
RousseauWasRight	Br/RousseauEstavaCerto
RoyalBlood	Br/SangueReal
RubberBandAI	Br/IADeTiraElastica
RubberMan	Br/HomemBorracha
RudeHeroNiceSidekick	Br/HeroiRudeParceiroLegal
RuderAndCruder	Br/MaisRudeEBruto
RuinsOfTheModernAge	Br/RuinasDaEraModerna
RuleOfCool	Br/PorqueELegal
RuleOfCool	Br/RegraDoLegal
RuleOfCreepy	Br/RegraDoRepugnante
RuleOfCute	Br/PorqueEFofo
RuleOfCute	Br/RegraDaFofura
RuleOfDrama	Br/RegraDoDrama
RuleOfEmpathy	Br/RegraDaEmpatia
RuleOfFun	Br/RegraDaDiversao
RuleOfFunny	Br/PorqueEEngracado
RuleOfFunny	Br/RegraDaGraca
RuleOfGlamorous	Br/RegraDaBeleza
RuleOfIndex	Br/RegraDoIndice
RuleOfPerception	Br/RegraDaPercepcao
RuleOfRomantic	Br/RegraDoRomance
RuleOfScary	Br/RegraDoTerror
RuleOfSexy	Br/RegraDoSexy
RuleOfSymbolism	Br/RegraDoSimbolismo
RuleOfThree	Br/RegraDoTres
RuleThirtyFour	Br/Regra34
RuleZero	Br/RegraZero
RulesLawyer	Br/JuristaDasRegras
RunOrDie	Br/CorrerOuMorrer
RunawayHideaway	Br/EsconderijoDoFugitivo
RunningGag	Br/PiadaRecorrente
RunningOverThePlot	Br/AtropelarATrama
RunningTheAsylum	Br/AdministrandoOAsilo
RushmoreRefacement	Br/RemodelandoRushmore
RussianReversal	Br/ReversalRussa
RuthlessRooftops	Br/TelhadosTraicoeiros
SNKBoss	Br/ChefeSNK
SacredBowAndArrows	Br/ArcoEFlechaSagrados
SacrificialLamb	Br/CordeiroDeSacrificio
SacrificialLion	Br/LeaoDeSacrificio
SadistShow	Br/ShowSadista
SadistTeacher	Br/ProfessorSadista
SadisticChoice	Br/EscolhaSadista
SafeSaneAndConsensual	Br/SeguroSaoEConsensual
SafetyInMuggles	Br/SegurancaNosTrouxas
SaintBernardRescue	Br/ResgateDoSaoBernardo
SaintlyChurch	Br/IgrejaSantificada
SalvagedGameplayMechanic	Br/MecanicaDeJogoRestaurada
SamePlotSequel	Br/SequenciaComAMesmaTrama
SanityBall	Br/BolaDaSanidade
SanitySlippage	Br/DeslizamentoDeSanidade
SantaClaus	Br/PapaiNoel
SapientShip	Br/NaveSapiente
SarcasmBlind	Br/AlheioASarcasmo
SarcasmMode	Br/ModoSarcastico
SarcasticConfession	Br/ConfissaoSarcastica
SarcasticDevotee	Br/DevotoSarcastico
Satan	Br/{{Sata}}
SatanIsGood	Br/SataEBom
SatanicArchetype	Br/ArquetipoSatanico
SatireParodyPastiche	Br/SatiraParodiaPastiche
SaveBothWorlds	Br/SalvarAmbosOsMundos
SaveThePrincess	Br/SalvarAPrincesa
SavedForTheSequel	Br/GuardadoParaASequencia
SavingChristmas	Br/SalvarONatal
SavingTheOrphanage	Br/SalvarOOrfanato
SavingTheWorld	Br/SalvarOMundo
SavvyGuyEnergeticGirl	Br/CaraExperienteGarotaAgitada
SayYourPrayers	Br/ComeceARezar
SayingSoundEffectsOutLoud	Br/FalarEfeitosSonorosEmVozAlta
ScaleOfScientificSins	Br/EscalaDePecadosCientificos
ScamReligion	Br/ReligiaoFraudulenta
ScamReligion	Br/ReligiaoGolpista
ScaryBlackMan	Br/HomemNegroAssustador
ScaryTeeth	Br/DentesAssustadores
ScavengerWorld	Br/MundoDeCatadores
SceneryBasedSocietalBarometer	Br/BarometroSocietalBaseadoEmCenario
ScheherezadeGambit	Br/GambitoDeScheherezade
SchizoTech	Br/EsquizoTech
SchoolIsMurder	Br/EscolaSignificaMorte
SchoolTropes	Br/TroposDeEscola
SciFiGhetto	Br/GuetoSciFi
SciFiWritersHaveNoSenseOfScale	Br/EscritoresDeSciFiNaoTemSensoDeEscala
ScienceAtTheSpeedOfPlot	Br/CienciaNaVelocidadeDaTrama
ScienceDestroysMagic	Br/ACienciaDestroiAMagia
ScienceFiction	Br/FiccaoCientifica
ScienceHero	Br/HeroiDaCiencia
ScienceIsGood	Br/CienciaEBoa
ScienceMarchesOn	Br/AMarchaDaCiencia
ScienceRelatedMemeticDisorder	Br/TranstornoMemeticoDeAspectoCientifico
ScientificallyUnderstandableSorcery	Br/FeiticariaCientificamenteCompreensivel
ScrapbookStory	Br/HistoriaComRecortes
ScrappyMechanic	Br/MecanicaOdiada
ScratchDamage	Br/DanoDeArranhao
ScrewDestiny	Br/DaneSeODestino
ScrewTheRulesIHaveMoney	Br/DaneSeAsRegrasEuTenhoDinheiro
ScrewTheRulesImDoingWhatsRight	Br/DanemSeAsRegrasEstouFazendoOQueECerto
ScrewedByTheNetwork	Br/DestruidoPelaRede
ScullyBox	Br/CaixaDeScully
SeaSinkhole	Br/RaloMarinho
SeaStories	Br/HistoriasDoMar
SealedCastInAMultipack	Br/ElencoSeladoEmUmaMochila
SealedEvilInACan	Br/MalSeladoEmUmaGarrafa
SealedEvilInACan	Br/OMalSeladoEmUmaGarrafa
SealedGoodInACan	Br/BemSeladoEmUmaGarrafa
SealedGoodInACan	Br/OBemSeladoEmUmaGarrafa
SeasonFinale	Br/FinalDaTemporada
SeasonFluidity	Br/FluidezDeTemporada
SeasonalRot	Br/PodridaoSazonal
SecondChapterCliffhanger	Br/PenhascoDoSegundoCapitulo
SecondFaceSmoke	Br/FumacaNoRosto
SecretGovernmentWarehouse	Br/DepositoSecretoDoGoverno
SecretHistory	Br/HistoriaSecreta
SecretIdentity	Br/IdentidadeSecreta
SecretMessageWink	Br/PiscadaDaMensagemSecreta
SecretPath	Br/PassagemSecreta
